SG_UF,DT_SIN_PRI,count
AM,2020-06-22,48
AM,2020-06-23,42
AM,2020-06-24,55
AM,2020-06-25,85
AM,2020-06-26,58
AM,2020-06-27,42
AM,2020-06-28,69
AM,2020-06-29,45
AM,2020-06-30,57
AM,2020-07-01,148
AM,2020-07-02,49
AM,2020-07-03,52
AM,2020-07-04,45
AM,2020-07-05,60
AM,2020-07-06,49
AM,2020-07-07,59
AM,2020-07-08,58
AM,2020-07-09,51
AM,2020-10-27,51
AP,2020-03-03,1
AP,2020-04-03,1
AP,2020-04-05,2
AP,2020-04-07,1
AP,2020-04-13,2
AP,2020-04-14,4
AP,2020-05-07,18
AP,2020-05-23,15
AP,2020-05-24,17
AP,2020-05-25,25
AP,2020-05-26,15
AP,2020-05-28,25
AP,2020-05-29,12
AP,2020-05-30,16
AP,2020-05-31,11
AP,2020-06-01,29
AP,2020-06-02,19
AP,2020-06-03,16
AP,2020-06-04,9
AP,2020-06-05,16
AP,2020-06-06,13
AP,2020-06-07,9
AP,2020-06-08,8
AP,2020-06-09,6
AP,2020-06-10,14
AP,2020-06-11,6
AP,2020-06-12,9
AP,2020-06-13,10
AP,2020-06-14,14
AP,2020-06-15,16
AP,2020-06-17,8
AP,2020-06-18,5
AP,2020-06-19,9
AP,2020-06-20,13
AP,2020-06-21,5
AP,2020-06-22,8
AP,2020-06-23,5
AP,2020-06-24,2
AP,2020-06-25,8
AP,2020-06-26,4
AP,2020-06-27,6
AP,2020-06-29,8
AP,2020-06-30,10
AP,2020-07-03,7
AP,2020-07-04,6
AP,2020-07-06,7
BA,2020-01-30,2
BA,2020-05-31,161
BA,2020-06-01,302
BA,2020-06-02,214
BA,2020-06-03,206
BA,2020-06-04,201
BA,2020-06-05,209
BA,2020-06-06,210
BA,2020-06-07,207
BA,2020-06-08,212
BA,2020-06-09,203
BA,2020-06-10,251
BA,2020-06-11,193
BA,2020-06-12,211
BA,2020-06-13,199
BA,2020-06-14,212
BA,2020-06-15,240
BA,2020-06-16,189
BA,2020-06-17,199
BA,2020-06-18,195
